h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8"
1,"$36,52","$40,38","$44,11","$47,96","$51,70","$55,53","$59,28","$63,12","$66,86","$70,70","$74,45","$78,28","$82,19","$86,30","$90,62","$95,15","$99,91","$103,90","$108,06","$112,38","$116,88","$121,55","$126,41","$131,47"
"1,2","$39,52","$43,68","$47,96","$52,12","$56,28","$60,55","$64,71","$68,90","$73,16","$77,32","$81,50","$85,77","$90,06","$94,56","$99,29","$104,25","$109,46","$113,84","$118,40","$123,13","$128,06","$133,18","$138,51","$144,05"
"1,4","$42,51","$47,10","$53,76","$57,41","$62,10","$66,79","$71,56","$74,76","$82,53","$87,30","$92,08","$96,86","$101,70","$106,79","$112,13","$117,74","$123,62","$128,57","$133,71","$139,06","$144,62","$150,41","$156,42","$162,68"
"1,6","$45,39","$50,42","$56,54","$62,86","$66,79","$73,31","$77,01","$80,54","$88,97","$94,19","$100,36","$105,64","$110,92","$116,46","$122,29","$128,40","$134,82","$140,22","$145,82","$151,66","$157,72","$164,03","$170,59","$177,42"
"1,8","$48,39","$53,83","$60,46","$66,01","$71,47","$77,01","$82,58","$86,41","$95,52","$101,08","$106,75","$112,41","$118,03","$123,94","$130,13","$136,64","$143,47","$149,21","$155,18","$161,39","$167,84","$174,56","$181,54","$188,80"
2,"$51,38","$57,13","$63,02","$68,90","$74,65","$80,54","$86,41","$92,16","$101,96","$108,08","$114,07","$120,18","$126,19","$132,50","$139,12","$146,08","$153,38","$159,52","$165,90","$172,54","$179,44","$186,62","$194,08","$201,84"
"2,2","$54,25","$60,55","$66,75","$73,06","$79,25","$85,56","$91,73","$98,05","$106,33","$112,75","$119,07","$125,51","$131,78","$138,37","$145,29","$152,55","$160,18","$166,59","$173,25","$180,18","$187,39","$194,88","$202,68","$210,79"
"2,4","$57,25","$63,87","$70,60","$77,22","$85,52","$94,19","$99,13","$103,81","$110,54","$117,16","$123,79","$130,51","$137,04","$143,89","$151,08","$158,64","$166,57","$173,23","$180,16","$187,37","$194,86","$202,66","$210,76","$219,19"
"2,6","$60,23","$67,29","$74,34","$81,38","$90,20","$97,50","$104,69","$109,70","$116,74","$123,79","$130,83","$137,88","$144,77","$152,01","$159,61","$167,59","$175,97","$183,01","$190,33","$197,94","$205,86","$214,09","$222,66","$231,56"
"2,8","$63,23","$70,70","$78,19","$85,56","$94,88","$102,52","$110,13","$115,45","$122,93","$130,41","$137,88","$145,35","$152,62","$160,25","$168,26","$176,68","$185,51","$192,93","$200,65","$208,68","$217,02","$225,70","$234,73","$244,12"
3,"$66,10","$74,02","$81,92","$89,83","$99,57","$109,74","$115,69","$121,32","$129,24","$137,13","$144,92","$152,83","$160,47","$168,50","$176,92","$185,77","$195,06","$202,86","$210,97","$219,41","$228,19","$237,32","$246,81","$256,68"
"3,2","$69,40","$77,72","$86,01","$94,32","$104,55","$115,22","$121,47","$127,39","$135,71","$143,99","$152,17","$160,47","$168,50","$176,92","$185,77","$195,06","$204,81","$213,00","$221,52","$230,38","$239,60","$249,18","$259,15","$269,51"
"3,4","$72,87","$81,60","$90,31","$99,03","$109,78","$120,98","$127,55","$133,76","$142,49","$151,19","$159,78","$168,50","$176,92","$185,77","$195,06","$204,81","$215,05","$223,65","$232,60","$241,90","$251,58","$261,64","$272,11","$282,99"
"3,6","$76,51","$85,68","$94,83","$103,99","$115,26","$127,03","$133,93","$140,45","$149,62","$158,75","$167,76","$176,92","$185,77","$195,06","$204,81","$215,05","$225,80","$234,83","$244,23","$254,00","$264,16","$274,72","$285,71","$297,14"
"3,8","$80,34","$89,97","$99,57","$109,18","$121,03","$133,39","$140,62","$147,47","$157,10","$166,69","$176,15","$185,77","$195,06","$204,81","$215,05","$225,80","$237,09","$246,58","$256,44","$266,70","$277,36","$288,46","$300,00","$312,00"
4,"$84,36","$94,47","$104,55","$114,64","$127,08","$140,05","$147,65","$154,84","$164,95","$175,02","$184,96","$195,06","$204,81","$215,05","$225,80","$237,09","$248,95","$258,90","$269,26","$280,03","$291,23","$302,88","$315,00","$327,60"
"4,2","$88,57","$99,19","$109,78","$120,38","$133,43","$147,06","$155,04","$162,59","$173,20","$183,77","$194,21","$204,81","$215,05","$225,80","$237,09","$248,95","$261,39","$271,85","$282,72","$294,03","$305,79","$318,03","$330,75","$343,98"
"4,4","$93,00","$104,15","$115,26","$126,39","$140,11","$154,41","$162,79","$170,71","$181,86","$192,96","$203,92","$215,05","$225,80","$237,09","$248,95","$261,39","$274,46","$285,44","$296,86","$308,73","$321,08","$333,93","$347,28","$361,17"
"4,5","$95,33","$106,75","$118,15","$129,55","$143,61","$158,27","$166,86","$174,98","$186,41","$197,79","$209,02","$220,43","$231,45","$243,02","$255,17","$267,93","$281,32","$292,58","$304,28","$316,45","$329,11","$342,27","$355,97","$370,20"
