h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8"
"0,5","$16,06","$17,93","$19,79","$21,64","$23,50","$25,37","$27,22","$29,09","$30,94","$32,81","$34,67","$36,53","$38,17","$39,89","$41,69"
"0,6","$17,05","$18,90","$20,76","$22,64","$24,48","$26,35","$28,21","$30,08","$31,93","$33,79","$35,66","$37,51","$39,20","$40,96","$42,81"
"0,7","$18,03","$19,88","$21,75","$23,62","$25,48","$27,33","$29,20","$31,05","$32,93","$34,77","$36,64","$38,50","$40,23","$42,04","$43,93"
"0,8","$19,02","$20,88","$22,74","$24,60","$26,46","$28,32","$30,19","$32,03","$33,90","$35,77","$37,63","$39,48","$41,26","$43,11","$45,05"
"0,9","$20,00","$21,86","$23,73","$25,58","$27,44","$29,30","$31,17","$33,03","$34,89","$36,74","$38,60","$40,47","$42,29","$44,19","$46,18"
1,"$20,99","$22,85","$24,71","$26,57","$28,43","$30,30","$32,15","$34,01","$35,87","$37,73","$39,59","$41,45","$43,32","$45,26","$47,30"
"1,1","$22,42","$24,80","$26,72","$28,12","$30,01","$31,90","$33,79","$35,00","$36,86","$38,72","$40,58","$42,44","$44,35","$46,35","$48,43"
"1,2","$23,87","$26,07","$28,02","$29,69","$31,61","$32,91","$34,80","$35,98","$37,84","$39,71","$41,56","$43,43","$45,38","$47,43","$49,56"
"1,3","$25,15","$27,11","$29,04","$31,00","$32,64","$34,57","$36,52","$36,97","$38,83","$40,69","$42,55","$44,41","$46,41","$48,50","$50,68"
"1,4","$26,18","$28,13","$30,10","$32,03","$33,68","$35,60","$37,19","$37,95","$39,82","$41,68","$43,53","$45,39","$47,43","$49,57","$51,80"
"1,5","$26,70","$28,88","$31,13","$32,75","$34,69","$36,28","$37,82","$38,94","$40,79","$42,65","$44,52","$46,37","$48,46","$50,64","$52,92"
"1,6","$27,45","$29,90","$31,85","$33,78","$35,72","$36,94","$38,82","$39,93","$41,78","$43,64","$45,50","$47,36","$49,49","$51,72","$54,05"
"1,7","$28,45","$30,65","$32,57","$34,49","$36,38","$37,94","$39,83","$40,91","$42,77","$44,63","$46,49","$48,35","$50,53","$52,80","$55,18"
"1,8","$29,45","$31,35","$33,25","$35,16","$37,04","$38,94","$40,83","$41,90","$43,76","$45,62","$47,48","$49,34","$51,56","$53,88","$56,31"
"1,9","$30,33","$32,29","$34,25","$36,21","$38,15","$40,11","$42,05","$43,16","$45,07","$46,99","$48,90","$50,82","$53,11","$55,50","$57,99"
2,"$31,24","$33,26","$35,27","$37,30","$39,30","$41,31","$43,32","$44,45","$46,42","$48,40","$50,37","$52,34","$54,70","$57,16","$59,73"
"2,1","$32,18","$34,26","$36,33","$38,42","$40,47","$42,55","$44,62","$45,79","$47,82","$49,85","$51,88","$53,92","$56,34","$58,88","$61,53"
"2,2","$33,15","$35,28","$37,42","$39,57","$41,69","$43,83","$45,95","$47,16","$49,25","$51,35","$53,44","$55,53","$58,03","$60,64","$63,37"
"2,3","$34,14","$36,34","$38,55","$40,76","$42,94","$45,14","$47,33","$48,57","$50,73","$52,89","$55,04","$57,20","$59,77","$62,46","$65,27"
"2,4","$35,16","$37,43","$39,70","$41,98","$44,23","$46,50","$48,75","$50,03","$52,25","$54,47","$56,69","$58,91","$61,57","$64,34","$67,23"
