h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8","2,9",3
"1,1","$37,83","$41,61","$45,77","$49,89","$53,88","$58,19","$61,69","$65,39","$69,31","$72,78","$76,41","$80,24","$84,25","$88,46","$92,88","$97,53","$102,40","$106,50","$110,76","$115,19","$119,80","$124,59","$129,57","$133,46","$137,46","$141,59"
"1,3","$40,48","$44,52","$48,98","$53,38","$57,66","$62,27","$66,00","$69,96","$74,16","$77,87","$81,76","$85,85","$90,14","$94,65","$99,38","$104,35","$109,57","$113,95","$118,51","$123,25","$128,18","$133,31","$138,64","$142,80","$147,09","$151,50"
"1,5","$43,31","$47,64","$52,41","$57,12","$61,69","$66,63","$70,62","$74,86","$79,35","$83,32","$87,49","$91,86","$96,45","$101,28","$106,34","$111,66","$117,24","$121,93","$126,81","$131,88","$137,16","$142,64","$148,35","$152,80","$157,38","$162,10"
"1,7","$46,34","$50,98","$56,07","$61,12","$66,01","$71,29","$75,57","$80,10","$84,91","$89,15","$93,61","$98,29","$103,21","$108,37","$113,78","$119,47","$125,45","$130,47","$135,68","$141,11","$146,76","$152,63","$158,73","$163,49","$168,40","$173,45"
"1,9","$49,59","$54,54","$60,00","$65,40","$70,63","$76,28","$80,86","$85,71","$90,85","$95,39","$100,16","$105,17","$110,43","$115,95","$121,75","$127,84","$134,23","$139,60","$145,18","$150,99","$157,03","$163,31","$169,84","$174,94","$180,19","$185,59"
"2,1","$52,56","$57,82","$63,60","$69,32","$74,87","$80,86","$85,71","$90,85","$96,30","$101,12","$106,17","$111,48","$117,06","$122,91","$129,05","$135,51","$142,28","$147,97","$153,89","$160,05","$166,45","$173,11","$180,03","$185,43","$191,00","$196,73"
"2,3","$55,71","$61,29","$67,41","$73,48","$79,36","$85,71","$90,85","$96,30","$102,08","$107,18","$112,54","$118,17","$124,08","$130,28","$136,80","$143,64","$150,82","$156,85","$163,13","$169,65","$176,44","$183,50","$190,84","$196,56","$202,46","$208,53"
"2,5","$59,06","$64,96","$71,46","$77,89","$84,12","$90,85","$96,30","$102,08","$108,21","$113,62","$119,30","$125,26","$131,52","$138,10","$145,01","$152,26","$159,87","$166,26","$172,91","$179,83","$187,02","$194,50","$202,29","$208,35","$214,60","$221,04"
"2,7","$62,60","$68,86","$75,75","$82,56","$89,17","$96,30","$102,08","$108,21","$114,70","$120,43","$126,45","$132,78","$139,42","$146,39","$153,71","$161,39","$169,46","$176,24","$183,29","$190,62","$198,25","$206,18","$214,42","$220,85","$227,48","$234,30"
"2,9","$65,73","$72,30","$79,53","$86,69","$93,63","$101,12","$107,18","$113,62","$120,43","$126,45","$132,78","$139,42","$146,39","$153,71","$161,39","$169,46","$177,93","$185,05","$192,45","$200,15","$208,16","$216,48","$225,14","$231,90","$238,85","$246,02"
3,"$69,02","$75,92","$83,51","$91,03","$98,31","$106,17","$112,54","$119,30","$126,45","$132,78","$139,42","$146,39","$153,71","$161,39","$169,46","$177,93","$186,83","$194,30","$202,08","$210,16","$218,57","$227,31","$236,40","$243,49","$250,80","$258,32"
