h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8","2,9",3
"1,1","$22,00","$24,20","$26,62","$29,02","$31,34","$33,85","$35,88","$38,03","$40,31","$42,33","$44,45","$46,67","$49,00","$50,96","$53,00","$55,12","$57,33","$59,05","$60,82","$62,64","$64,52","$66,46","$68,45","$70,50","$72,62","$74,80"
"1,3","$23,32","$25,66","$28,22","$30,76","$33,22","$35,88","$38,03","$40,31","$42,73","$44,87","$47,11","$49,47","$51,94","$54,02","$56,18","$58,43","$60,76","$62,59","$64,47","$66,40","$68,39","$70,44","$72,56","$74,73","$76,98","$79,28"
"1,5","$24,72","$27,19","$29,91","$32,61","$35,21","$38,03","$40,31","$42,73","$45,30","$47,56","$49,94","$52,44","$55,06","$57,26","$59,55","$61,93","$64,41","$66,34","$68,33","$70,38","$72,49","$74,67","$76,91","$79,22","$81,59","$84,04"
"1,7","$26,21","$28,83","$31,71","$34,56","$37,33","$40,31","$42,73","$45,30","$48,01","$50,42","$52,94","$55,58","$58,36","$60,70","$63,12","$65,65","$68,28","$70,32","$72,43","$74,61","$76,84","$79,15","$81,52","$83,97","$86,49","$89,08"
"1,9","$27,52","$30,27","$33,29","$36,29","$39,19","$42,33","$44,87","$47,56","$50,42","$52,94","$55,58","$58,36","$61,28","$63,73","$66,28","$68,93","$71,69","$73,84","$76,06","$78,34","$80,69","$83,11","$85,60","$88,17","$90,81","$93,54"
"2,1","$28,89","$31,78","$34,96","$38,11","$41,15","$44,45","$47,11","$49,94","$52,94","$55,58","$58,36","$61,28","$64,34","$66,92","$69,59","$72,38","$75,27","$77,53","$79,86","$82,25","$84,72","$87,26","$89,88","$92,58","$95,35","$98,22"
"2,3","$30,34","$33,37","$36,71","$40,01","$43,21","$46,67","$49,47","$52,44","$55,58","$58,36","$61,28","$64,34","$67,56","$70,26","$73,07","$76,00","$79,04","$81,41","$83,85","$86,37","$88,96","$91,63","$94,37","$97,21","$100,12","$103,13"
"2,5","$31,85","$35,04","$38,54","$42,01","$45,37","$49,00","$51,94","$55,06","$58,36","$61,28","$64,34","$67,56","$70,94","$73,78","$76,73","$79,80","$82,99","$85,48","$88,04","$90,68","$93,41","$96,21","$99,09","$102,07","$105,13","$108,28"
"2,7","$33,13","$36,44","$40,08","$43,69","$47,19","$50,96","$54,02","$57,26","$60,70","$63,73","$66,92","$70,26","$73,78","$76,73","$79,80","$82,99","$86,31","$88,90","$91,56","$94,31","$97,14","$100,06","$103,06","$106,15","$109,33","$112,61"
"2,9","$34,45","$37,90","$41,69","$45,44","$49,07","$53,00","$56,18","$59,55","$63,12","$66,28","$69,59","$73,07","$76,73","$79,80","$82,99","$86,31","$89,76","$92,45","$95,23","$98,08","$101,03","$104,06","$107,18","$110,39","$113,71","$117,12"
3,"$35,83","$39,41","$43,36","$47,26","$51,04","$55,12","$58,43","$61,93","$65,65","$68,93","$72,38","$76,00","$79,80","$82,99","$86,31","$89,76","$93,35","$96,15","$99,04","$102,01","$105,07","$108,22","$111,47","$114,81","$118,25","$121,80"
