h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8"
"0,5","$34,94","$38,60","$43,71","$48,72","$53,84","$58,84","$63,96","$69,09","$74,09","$79,20","$84,21","$89,33","$94,34","$100,00","$106,00"
"0,6","$39,04","$43,18","$48,83","$54,48","$60,13","$65,88","$71,53","$77,18","$82,84","$88,47","$94,14","$99,79","$105,43","$111,75","$118,46"
"0,7","$43,13","$47,77","$54,05","$60,23","$66,52","$72,81","$79,00","$85,28","$91,58","$97,76","$104,05","$110,34","$116,51","$123,51","$130,92"
"0,8","$46,42","$52,35","$59,17","$65,98","$72,92","$79,75","$86,56","$93,39","$100,31","$107,14","$113,96","$120,78","$127,71","$135,38","$143,50"
"0,9","$50,46","$56,93","$64,39","$71,75","$79,20","$86,68","$94,14","$101,59","$108,95","$116,41","$123,88","$131,34","$138,80","$147,13","$155,96"
1,"$54,48","$61,52","$69,49","$77,50","$85,60","$93,60","$101,69","$109,70","$117,70","$125,80","$133,79","$141,78","$149,89","$158,88","$168,42"
"1,1","$58,62","$68,74","$76,23","$84,94","$93,73","$102,55","$111,34","$117,80","$126,43","$135,07","$143,71","$152,34","$160,98","$170,63","$180,87"
"1,2","$63,86","$74,10","$83,83","$92,58","$102,22","$109,61","$119,06","$125,90","$135,18","$144,34","$153,62","$162,78","$172,05","$182,38","$193,32"
"1,3","$68,63","$78,92","$89,22","$99,62","$108,87","$119,07","$129,26","$134,11","$143,91","$153,72","$163,54","$173,34","$183,14","$194,13","$205,78"
"1,4","$72,18","$83,74","$94,70","$105,66","$115,41","$126,28","$135,05","$142,21","$152,65","$163,00","$173,44","$183,89","$194,24","$205,89","$218,25"
"1,5","$75,17","$87,70","$99,12","$110,65","$122,06","$131,56","$142,12","$150,31","$161,30","$172,38","$183,36","$194,33","$205,32","$217,63","$230,69"
"1,6","$78,83","$91,14","$104,56","$116,63","$126,75","$137,99","$149,85","$158,52","$170,03","$181,65","$193,28","$204,90","$216,40","$229,39","$243,15"
"1,7","$82,97","$95,37","$108,27","$120,86","$132,66","$145,05","$157,56","$166,62","$178,78","$190,92","$203,19","$215,34","$227,49","$241,14","$255,61"
"1,8","$85,28","$98,07","$110,86","$123,65","$136,46","$149,13","$161,93","$174,73","$187,52","$200,31","$213,10","$225,89","$238,68","$253,00","$268,18"
"1,9","$89,24","$102,66","$115,98","$129,42","$142,74","$156,17","$169,49","$182,84","$196,26","$209,59","$223,01","$236,34","$249,78","$264,76","$280,65"
2,"$93,28","$107,25","$121,22","$135,18","$149,13","$163,10","$177,06","$191,04","$204,99","$218,96","$232,93","$246,90","$260,87","$276,52","$293,11"
"2,1","$97,23","$111,83","$126,33","$140,92","$155,43","$170,03","$184,53","$199,13","$213,74","$228,25","$242,84","$257,35","$271,94","$288,26","$305,55"
"2,2","$101,17","$116,41","$131,55","$146,69","$161,82","$176,97","$192,11","$207,24","$222,38","$237,62","$252,76","$267,90","$283,04","$300,02","$318,02"
"2,3","$105,21","$120,57","$135,93","$151,27","$166,62","$181,97","$197,32","$212,68","$228,02","$243,38","$258,72","$274,08","$289,44","$306,80","$325,21"
