h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8"
"0,5","$23,10","$25,40","$28,58","$31,66","$34,85","$38,03","$41,11","$44,30","$47,49","$50,68","$53,74","$56,94","$60,14","$63,45","$66,94"
"0,6","$25,10","$27,56","$30,98","$34,28","$37,70","$41,11","$44,53","$47,94","$51,25","$54,66","$58,09","$61,50","$64,81","$68,37","$72,14"
"0,7","$27,13","$29,61","$33,26","$36,90","$40,54","$44,18","$47,83","$51,47","$55,12","$58,77","$62,41","$65,94","$69,58","$73,41","$77,44"
"0,8","$28,46","$31,78","$35,65","$39,52","$43,39","$47,26","$51,14","$55,01","$58,87","$62,74","$66,62","$70,50","$74,37","$78,46","$82,78"
"0,9","$30,44","$33,94","$38,03","$42,14","$46,24","$50,34","$54,43","$58,65","$62,74","$66,85","$70,95","$75,05","$79,14","$83,49","$88,08"
1,"$32,30","$36,10","$40,42","$44,75","$49,08","$53,42","$57,86","$62,18","$66,51","$70,83","$75,28","$79,60","$83,94","$88,56","$93,43"
"1,1","$34,26","$39,67","$43,68","$48,32","$52,98","$57,73","$62,38","$65,71","$70,38","$74,94","$79,50","$84,16","$88,71","$93,59","$98,74"
"1,2","$36,95","$42,32","$47,35","$51,99","$56,97","$60,87","$65,75","$69,36","$74,14","$78,92","$83,82","$88,60","$93,50","$98,64","$104,07"
"1,3","$39,23","$44,59","$49,86","$55,24","$59,94","$65,26","$70,47","$72,88","$78,01","$83,02","$88,14","$93,15","$98,28","$103,69","$109,39"
"1,4","$40,86","$46,75","$52,38","$58,00","$62,89","$68,46","$72,96","$76,41","$81,77","$87,12","$92,36","$97,71","$103,06","$108,73","$114,71"
"1,5","$42,14","$48,57","$54,36","$60,17","$65,85","$70,62","$75,97","$80,06","$85,52","$91,10","$96,69","$102,26","$107,74","$113,67","$119,92"
"1,6","$43,90","$50,08","$56,86","$62,89","$67,82","$73,42","$79,34","$83,58","$89,40","$95,21","$101,02","$106,70","$112,52","$118,71","$125,24"
"1,7","$45,88","$52,04","$58,49","$64,55","$70,39","$76,55","$82,70","$87,12","$93,15","$99,19","$105,23","$111,26","$117,30","$123,75","$130,56"
"1,8","$46,81","$53,07","$59,34","$65,59","$71,86","$78,24","$84,50","$90,77","$97,02","$103,30","$109,55","$115,82","$122,08","$128,79","$135,88"
"1,9","$48,74","$55,24","$61,72","$68,22","$74,82","$81,30","$87,80","$94,30","$100,79","$107,28","$113,89","$120,38","$126,86","$133,84","$141,20"
2,"$50,57","$57,40","$64,12","$70,83","$77,67","$84,39","$91,10","$97,82","$104,66","$111,38","$118,10","$124,93","$131,65","$138,89","$146,53"
"2,1","$52,50","$59,45","$66,51","$73,46","$80,52","$87,47","$94,41","$101,47","$108,42","$115,48","$122,42","$129,37","$136,43","$143,93","$151,85"
"2,2","$54,43","$61,61","$68,90","$76,08","$83,36","$90,54","$97,82","$105,00","$112,29","$119,47","$126,75","$133,93","$141,22","$148,99","$157,18"
"2,3","$56,26","$63,31","$70,38","$77,44","$84,50","$91,56","$99,65","$106,82","$114,11","$121,29","$128,58","$135,75","$143,04","$150,91","$159,21"
