h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2"
"0,5","$57,00","$60,07","$65,87","$71,13","$76,93","$82,21","$87,48","$93,27","$98,53"
"0,6","$58,58","$63,23","$68,49","$73,78","$79,56","$84,84","$90,64","$95,91","$101,70"
"0,7","$60,07","$65,87","$71,13","$76,93","$82,21","$88,00","$93,27","$99,06","$104,34"
"0,8","$62,70","$68,49","$74,31","$79,56","$85,36","$90,64","$96,43","$101,70","$107,49"
"0,9","$65,87","$71,13","$76,93","$82,21","$88,00","$93,79","$99,06","$104,87","$110,14"
1,"$68,49","$73,78","$79,56","$85,36","$90,64","$96,43","$102,22","$107,49","$113,29"
"1,1","$72,56","$78,47","$83,85","$91,51","$95,67","$101,05","$106,96","$110,66","$116,45"
"1,2","$76,72","$83,55","$89,63","$94,26","$98,35","$104,26","$110,18","$113,29","$119,09"
"1,3","$80,24","$86,32","$92,39","$98,48","$103,03","$109,06","$115,09","$116,45","$122,24"
"1,4","$82,99","$89,09","$95,17","$101,25","$106,31","$112,33","$115,56","$119,09","$124,88"
"1,5","$83,03","$90,89","$98,02","$103,30","$109,50","$113,49","$119,02","$122,66","$128,63"
