h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2"
"0,5","$37,27","$38,78","$42,16","$45,53","$48,49","$51,86","$55,22","$58,16","$61,55"
"0,6","$38,27","$40,47","$43,84","$47,22","$50,16","$53,54","$56,91","$60,28","$63,23"
"0,7","$39,20","$42,16","$45,53","$48,90","$52,28","$55,22","$58,60","$61,97","$65,34"
"0,8","$40,47","$43,84","$47,22","$50,58","$53,96","$56,91","$60,28","$63,65","$67,02"
"0,9","$42,16","$45,53","$48,90","$52,28","$55,65","$59,02","$61,97","$65,34","$68,72"
1,"$43,84","$47,22","$50,58","$53,96","$57,33","$60,70","$64,08","$67,02","$70,40"
"1,1","$46,45","$49,88","$53,33","$57,87","$60,20","$63,64","$67,09","$69,14","$72,51"
"1,2","$49,10","$53,11","$56,65","$59,63","$61,91","$65,36","$68,79","$70,82","$74,19"
"1,3","$51,35","$54,90","$58,43","$61,97","$64,89","$68,40","$71,91","$72,51","$75,88"
"1,4","$53,11","$56,65","$60,20","$63,75","$66,65","$70,15","$72,24","$74,19","$77,99"
"1,5","$53,14","$57,79","$62,01","$65,03","$68,65","$70,86","$74,40","$76,41","$80,33"
