h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2"
"0,5","$72,49","$77,47","$85,20","$92,39","$100,15","$107,90","$115,08","$122,83","$130,03"
"0,6","$75,06","$81,33","$88,52","$96,29","$104,02","$111,21","$118,95","$126,70","$133,89"
"0,7","$77,47","$84,66","$92,39","$100,15","$107,90","$115,08","$122,83","$130,58","$137,77"
"0,8","$80,77","$88,52","$96,29","$104,02","$111,21","$118,95","$126,70","$134,46","$141,64"
"0,9","$84,66","$92,39","$100,15","$107,33","$115,08","$122,83","$130,58","$138,32","$145,50"
1,"$88,52","$96,29","$103,46","$111,21","$118,95","$126,70","$134,46","$142,20","$149,94"
"1,1","$93,68","$101,58","$109,48","$119,69","$125,30","$133,19","$141,09","$146,06","$153,82"
"1,2","$99,56","$108,63","$116,78","$123,73","$129,23","$137,13","$145,03","$149,94","$157,69"
"1,3","$104,57","$112,70","$120,83","$128,98","$135,80","$143,86","$151,91","$153,82","$161,56"
"1,4","$108,05","$116,19","$124,32","$132,46","$139,24","$147,31","$152,93","$157,69","$165,42"
"1,5","$108,12","$118,52","$128,05","$135,13","$143,42","$148,81","$157,52","$162,42","$170,38"
