h,"0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2"
"0,5","$28,50","$29,52","$31,62","$33,73","$35,83","$37,93","$40,05","$42,16","$44,27"
"0,6","$28,66","$30,77","$32,88","$34,99","$37,11","$39,20","$41,31","$43,42","$45,53"
"0,7","$29,94","$32,05","$34,15","$36,25","$38,36","$40,47","$42,57","$44,69","$46,79"
"0,8","$30,77","$32,88","$34,99","$37,11","$39,63","$41,74","$43,84","$45,94","$48,05"
"0,9","$32,05","$34,15","$36,25","$38,36","$40,47","$42,57","$45,10","$47,22","$49,33"
1,"$33,31","$35,41","$37,53","$39,63","$41,74","$43,84","$45,94","$48,49","$50,58"
"1,1","$34,82","$36,99","$39,56","$42,53","$43,86","$46,01","$48,16","$49,75","$51,86"
"1,2","$36,83","$39,40","$41,61","$43,84","$45,16","$47,30","$49,46","$51,02","$53,11"
"1,3","$38,07","$40,73","$42,94","$45,15","$47,36","$49,55","$51,73","$52,28","$54,39"
"1,4","$39,40","$41,61","$44,27","$46,48","$48,22","$50,86","$52,04","$53,11","$55,65"
"1,5","$39,61","$42,66","$45,81","$47,65","$49,92","$51,63","$53,86","$54,98","$57,59"
