h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8"
1,"$32,81","$36,26","$39,62","$43,07","$46,43","$49,88","$53,24","$56,70","$60,05","$63,51","$66,86","$70,31","$73,83","$77,52","$81,40","$85,47","$89,74","$93,33","$97,06","$100,94","$104,98","$109,18","$113,55","$118,09"
"1,2","$35,50","$39,24","$43,07","$46,81","$50,56","$54,40","$58,13","$61,88","$65,72","$69,45","$73,20","$77,04","$80,90","$84,94","$89,19","$93,65","$98,33","$102,26","$106,35","$110,61","$115,03","$119,63","$124,42","$129,39"
"1,4","$38,18","$42,31","$48,30","$51,57","$55,78","$59,98","$64,29","$67,16","$74,13","$78,42","$82,72","$87,01","$91,36","$95,93","$100,72","$105,76","$111,05","$115,49","$120,11","$124,91","$129,91","$135,11","$140,51","$146,13"
"1,6","$40,77","$45,27","$50,78","$56,47","$59,98","$65,85","$69,17","$72,33","$79,92","$84,60","$90,15","$94,89","$99,63","$104,61","$109,84","$115,34","$121,10","$125,95","$130,99","$136,22","$141,67","$147,34","$153,23","$159,36"
"1,8","$43,45","$48,35","$54,31","$59,29","$64,19","$69,17","$74,17","$77,61","$85,80","$90,80","$95,89","$100,98","$106,03","$111,33","$116,89","$122,74","$128,88","$134,03","$139,39","$144,97","$150,77","$156,80","$163,07","$169,59"
2,"$46,15","$51,32","$56,61","$61,88","$67,05","$72,33","$77,61","$82,80","$91,59","$97,08","$102,46","$107,95","$113,35","$119,01","$124,96","$131,21","$137,77","$143,28","$149,02","$154,98","$161,18","$167,62","$174,33","$181,30"
"2,2","$48,73","$54,40","$59,96","$65,61","$71,18","$76,84","$82,41","$88,07","$95,51","$101,27","$106,95","$112,72","$118,36","$124,28","$130,49","$137,02","$143,87","$149,62","$155,61","$161,83","$168,30","$175,04","$182,04","$189,32"
"2,4","$51,43","$57,37","$63,43","$69,37","$76,82","$84,60","$89,05","$93,26","$99,29","$105,23","$111,18","$117,23","$123,09","$129,24","$135,71","$142,49","$149,62","$155,60","$161,83","$168,30","$175,03","$182,03","$189,31","$196,89"
"2,6","$54,11","$60,44","$66,77","$73,10","$81,02","$87,58","$94,03","$98,52","$104,85","$111,18","$117,52","$123,86","$130,05","$136,55","$143,38","$150,55","$158,08","$164,40","$170,97","$177,81","$184,93","$192,32","$200,02","$208,02"
"2,8","$56,80","$63,51","$70,23","$76,84","$85,23","$92,08","$98,94","$103,70","$110,42","$117,14","$123,86","$130,57","$137,10","$143,95","$151,15","$158,71","$166,64","$173,31","$180,24","$187,45","$194,95","$202,74","$210,85","$219,29"
3,"$59,37","$66,48","$73,58","$80,69","$89,45","$98,57","$103,92","$108,99","$116,08","$123,18","$130,18","$137,29","$144,15","$151,36","$158,93","$166,88","$175,22","$182,23","$189,52","$197,10","$204,98","$213,18","$221,71","$230,58"
