h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8"
1,"$35,43","$39,53","$43,54","$47,62","$51,64","$55,66","$59,74","$63,75","$67,85","$71,86","$75,94","$79,96","$83,96","$88,16","$92,57","$97,20","$102,06","$106,14","$110,38","$114,80","$119,39","$124,17","$129,13","$134,30"
"1,2","$39,30","$43,91","$48,55","$53,08","$57,71","$62,24","$66,86","$71,47","$76,01","$80,65","$85,26","$89,80","$94,29","$99,00","$103,95","$109,15","$114,61","$119,19","$123,96","$128,92","$134,08","$139,44","$145,02","$150,82"
"1,4","$43,16","$48,31","$55,59","$59,78","$65,03","$70,21","$75,46","$79,14","$87,65","$93,01","$98,36","$103,63","$108,81","$114,25","$119,96","$125,96","$132,26","$137,55","$143,05","$148,77","$154,73","$160,91","$167,35","$174,05"
"1,6","$47,02","$52,70","$59,54","$66,61","$71,14","$78,44","$82,71","$86,77","$96,16","$102,05","$109,01","$114,96","$120,71","$126,74","$133,08","$139,73","$146,72","$152,59","$158,69","$165,04","$171,64","$178,50","$185,64","$193,07"
"1,8","$50,96","$57,17","$64,64","$70,97","$77,30","$83,64","$90,05","$94,49","$104,73","$111,19","$117,65","$124,19","$130,40","$136,92","$143,77","$150,95","$158,50","$164,84","$171,44","$178,29","$185,42","$192,84","$200,56","$208,58"
2,"$54,81","$61,56","$68,30","$75,11","$81,85","$88,59","$95,41","$102,15","$113,32","$120,32","$127,33","$134,42","$141,15","$148,20","$155,61","$163,39","$171,56","$178,43","$185,56","$192,99","$200,70","$208,73","$217,08","$225,77"
"2,2","$58,68","$65,96","$73,30","$80,57","$87,92","$95,18","$102,52","$109,87","$119,48","$126,97","$134,39","$141,88","$148,97","$156,42","$164,24","$172,45","$181,08","$188,32","$195,85","$203,69","$211,83","$220,31","$229,12","$238,28"
"2,4","$62,54","$70,41","$78,21","$86,09","$95,85","$105,84","$111,83","$117,53","$125,40","$133,18","$141,07","$148,94","$156,39","$164,21","$172,42","$181,04","$190,09","$197,69","$205,60","$213,83","$222,38","$231,27","$240,53","$250,15"
"2,6","$66,41","$74,81","$83,21","$91,62","$102,03","$110,52","$119,09","$125,16","$133,56","$141,96","$150,38","$158,78","$166,72","$175,05","$183,80","$192,99","$202,64","$210,75","$219,18","$227,95","$237,06","$246,55","$256,41","$266,67"
"2,8","$70,27","$79,20","$88,14","$97,08","$108,13","$117,25","$126,42","$132,89","$141,81","$150,75","$159,69","$168,62","$177,05","$185,90","$195,20","$204,96","$215,21","$223,82","$232,77","$242,08","$251,76","$261,83","$272,31","$283,20"
3,"$74,13","$83,67","$93,14","$102,60","$114,30","$126,40","$133,68","$140,54","$150,00","$159,46","$169,01","$178,48","$187,40","$196,77","$206,61","$216,94","$227,78","$236,90","$246,37","$256,23","$266,48","$277,13","$288,22","$299,75"
