h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8"
1,"$45,57","$51,11","$56,63","$62,09","$67,62","$73,15","$78,60","$84,13","$89,65","$95,11","$100,64","$106,09","$111,39","$116,96","$122,81","$128,95","$135,40","$140,81","$146,44","$152,30","$158,39","$164,73","$171,32","$178,17"
"1,2","$51,34","$57,71","$63,98","$70,35","$76,63","$82,92","$89,27","$95,56","$101,91","$108,20","$114,49","$120,84","$126,89","$133,23","$139,89","$146,89","$154,23","$160,40","$166,82","$173,49","$180,43","$187,65","$195,15","$202,96"
"1,4","$57,17","$64,29","$74,26","$80,08","$87,35","$94,62","$101,87","$106,99","$118,75","$126,16","$133,56","$140,96","$148,01","$155,41","$163,18","$171,34","$179,90","$187,10","$194,58","$202,37","$210,46","$218,88","$227,64","$236,74"
"1,6","$62,92","$70,79","$80,32","$90,17","$96,55","$106,70","$112,76","$118,50","$131,51","$139,71","$149,39","$157,74","$165,63","$173,91","$182,60","$191,73","$201,32","$209,37","$217,75","$226,46","$235,51","$244,93","$254,73","$264,92"
"1,8","$68,68","$77,39","$87,90","$96,85","$105,72","$114,70","$123,58","$129,94","$144,27","$153,33","$162,46","$171,59","$180,17","$189,18","$198,63","$208,57","$218,99","$227,75","$236,86","$246,34","$256,19","$266,44","$277,10","$288,18"
2,"$74,43","$83,97","$93,58","$103,13","$112,67","$122,28","$131,83","$141,38","$157,02","$166,94","$176,86","$186,87","$196,22","$206,03","$216,33","$227,15","$238,50","$248,04","$257,97","$268,28","$279,02","$290,18","$301,78","$313,85"
"2,2","$80,19","$90,56","$100,93","$111,30","$121,69","$132,05","$142,50","$152,87","$166,52","$177,10","$187,67","$198,26","$208,17","$218,58","$229,51","$240,98","$253,03","$263,15","$273,68","$284,63","$296,01","$307,85","$320,17","$332,97"
"2,4","$85,94","$97,15","$108,35","$119,56","$133,30","$147,58","$156,17","$164,32","$175,52","$186,72","$197,86","$209,07","$219,52","$230,50","$242,02","$254,12","$266,83","$277,50","$288,60","$300,14","$312,15","$324,64","$337,62","$351,13"
"2,6","$91,70","$103,74","$115,70","$127,73","$142,49","$154,78","$167,06","$175,74","$187,78","$199,75","$211,77","$223,82","$235,02","$246,77","$259,10","$272,06","$285,66","$297,09","$308,97","$321,33","$334,18","$347,55","$361,45","$375,91"
"2,8","$97,45","$110,25","$123,11","$135,92","$151,69","$164,82","$177,87","$187,19","$200,06","$212,85","$225,64","$238,52","$250,44","$262,97","$276,11","$289,92","$304,41","$316,59","$329,26","$342,43","$356,12","$370,37","$385,18","$400,59"
3,"$103,20","$116,84","$130,47","$144,09","$160,95","$178,29","$188,76","$198,69","$212,31","$225,95","$239,57","$253,20","$265,86","$279,15","$293,11","$307,77","$323,16","$336,08","$349,52","$363,51","$378,05","$393,17","$408,89","$425,25"
