h,"0,3","0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5"
"0,3","$13,78","$14,94","$16,66","$17,80","$18,96","$20,10","$21,82","$22,97","$24,12","$25,84","$26,98","$28,14","$30,44"
"0,4","$14,36","$16,08","$17,23","$18,96","$20,67","$21,82","$23,54","$25,27","$26,42","$28,14","$29,28","$31,00","$33,30"
"0,5","$14,94","$16,66","$18,37","$20,10","$21,82","$23,54","$25,27","$26,98","$28,72","$30,44","$32,16","$33,88","$36,18"
"0,6","$16,08","$17,80","$19,52","$21,82","$23,54","$25,27","$26,98","$29,28","$31,00","$32,74","$35,03","$36,75","$39,62"
"0,7","$16,66","$18,96","$20,67","$22,97","$25,27","$26,98","$29,28","$31,00","$33,30","$35,60","$37,32","$39,62","$42,49"
"0,8","$17,23","$19,52","$21,82","$24,12","$26,42","$28,72","$31,00","$33,30","$35,60","$37,90","$40,20","$42,49","$45,37"
"0,9","$18,74","$21,08","$23,44","$25,78","$28,70","$31,05","$32,74","$35,03","$37,90","$40,20","$42,49","$45,37","$48,24"
1,"$19,33","$22,69","$25,08","$28,06","$30,46","$32,81","$34,45","$37,32","$40,20","$42,49","$45,37","$47,66","$51,10"
"1,1","$19,95","$23,52","$26,53","$29,27","$32,24","$34,56","$36,75","$39,62","$42,49","$44,79","$47,66","$50,53","$54,55"
"1,2","$20,56","$24,72","$27,74","$30,75","$33,44","$37,03","$38,48","$41,34","$44,21","$47,66","$50,53","$53,40","$57,42"
"1,3","$21,55","$25,51","$28,94","$32,55","$35,23","$38,82","$40,20","$43,64","$46,51","$49,96","$52,83","$56,28","$60,29"
"1,4","$22,37","$26,28","$29,87","$33,44","$37,03","$40,03","$41,92","$45,37","$48,81","$52,26","$55,70","$59,14","$63,17"
"1,5","$22,85","$27,47","$31,05","$34,64","$38,22","$41,00","$44,21","$47,66","$51,10","$54,55","$57,99","$62,02","$66,04"
"1,6","$24,01","$27,67","$31,78","$35,82","$39,44","$42,76","$45,94","$49,38","$53,40","$56,85","$60,87","$64,89","$69,48"
"1,7","$24,60","$28,70","$32,81","$37,08","$40,42","$44,51","$47,66","$51,68","$55,70","$59,72","$63,74","$67,19","$72,36"
"1,8","$24,68","$28,72","$33,30","$37,32","$41,34","$45,37","$49,38","$53,98","$57,99","$62,02","$66,04","$70,06","$75,22"
"1,9","$25,27","$29,86","$34,45","$38,48","$43,07","$47,66","$51,68","$56,28","$60,87","$64,89","$69,48","$74,07","$78,10"
2,"$26,42","$31,00","$35,60","$40,20","$44,79","$49,38","$53,98","$58,58","$63,17","$67,76","$72,36","$76,94","$81,54"
"2,1","$26,98","$31,59","$36,75","$41,34","$45,94","$51,10","$55,70","$60,29","$64,89","$70,06","$74,66","$79,24","$84,41"
"2,2","$27,57","$32,74","$37,90","$42,49","$47,66","$52,26","$57,42","$62,59","$67,19","$72,36","$77,52","$82,11","$87,28"
