h,"0,3","0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5"
"0,3","$11,41","$12,45","$13,49","$14,52","$15,56","$16,60","$17,64","$18,68","$19,71","$20,75","$22,31","$23,35","$24,90"
"0,4","$11,94","$12,97","$14,52","$15,56","$16,60","$18,16","$19,19","$20,23","$21,79","$22,82","$23,86","$25,42","$26,98"
"0,5","$12,45","$14,00","$15,05","$16,60","$18,16","$19,19","$20,75","$22,31","$23,35","$24,90","$26,45","$27,50","$29,57"
"0,6","$12,97","$14,52","$16,07","$17,64","$19,19","$20,75","$22,31","$23,86","$25,42","$26,98","$28,53","$30,09","$32,17"
"0,7","$13,49","$15,56","$17,13","$18,68","$20,23","$22,31","$23,86","$25,42","$26,98","$28,53","$30,61","$32,17","$34,23"
"0,8","$14,00","$16,07","$18,16","$19,71","$21,79","$23,35","$25,42","$26,98","$29,04","$30,61","$32,68","$34,23","$36,83"
"0,9","$15,34","$16,94","$19,05","$21,16","$23,28","$25,40","$26,98","$28,53","$30,61","$32,68","$34,76","$36,83","$39,42"
1,"$15,87","$18,34","$20,49","$22,66","$24,82","$26,45","$28,01","$30,61","$32,68","$34,76","$36,83","$38,91","$41,50"
"1,1","$16,13","$19,07","$21,79","$23,73","$26,44","$28,04","$29,57","$32,17","$34,23","$36,83","$38,91","$40,98","$44,10"
"1,2","$16,65","$20,15","$22,32","$25,06","$27,51","$30,21","$31,13","$33,72","$36,31","$38,39","$40,98","$43,58","$46,68"
"1,3","$17,30","$20,70","$23,42","$26,14","$28,59","$31,29","$32,68","$35,27","$37,87","$40,46","$43,06","$45,65","$48,76"
"1,4","$18,08","$21,58","$24,29","$26,98","$29,68","$32,44","$34,23","$36,83","$39,95","$42,54","$45,14","$47,73","$51,36"
"1,5","$18,53","$22,12","$25,36","$28,05","$31,29","$33,34","$35,79","$38,39","$41,50","$44,61","$47,20","$50,32","$53,95"
"1,6","$19,58","$22,86","$25,52","$29,13","$31,91","$34,92","$37,35","$40,46","$43,06","$46,17","$49,29","$52,39","$56,03"
"1,7","$20,10","$23,28","$26,45","$29,77","$32,81","$36,51","$38,91","$42,01","$45,14","$48,24","$51,36","$54,47","$58,62"
"1,8","$20,23","$23,35","$26,98","$30,09","$33,72","$36,83","$40,46","$43,58","$46,68","$50,32","$53,43","$57,06","$61,21"
"1,9","$20,75","$24,38","$28,01","$31,64","$34,76","$38,39","$42,01","$45,65","$49,29","$52,92","$56,55","$59,66","$63,30"
2,"$21,26","$24,90","$29,04","$32,68","$36,31","$39,95","$43,58","$47,20","$50,84","$54,47","$58,62","$62,24","$65,88"
"2,1","$21,79","$25,94","$29,57","$33,72","$37,35","$41,50","$45,14","$48,76","$52,92","$56,55","$60,69","$64,32","$68,48"
"2,2","$22,82","$26,45","$30,61","$34,76","$38,39","$42,54","$46,68","$50,84","$54,47","$58,62","$62,77","$66,40","$70,55"
