h,"0,3","0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5"
"0,3","$10,38","$11,41","$12,45","$13,49","$14,00","$15,05","$16,07","$17,13","$17,64","$18,68","$19,71","$20,75","$21,79"
"0,4","$10,89","$11,94","$12,97","$14,00","$15,05","$16,07","$17,13","$18,16","$18,68","$19,71","$20,75","$21,79","$23,35"
"0,5","$11,41","$12,45","$13,49","$14,52","$15,56","$16,60","$18,16","$19,19","$20,23","$21,26","$22,31","$23,35","$24,90"
"0,6","$11,94","$12,97","$14,00","$15,56","$16,60","$17,64","$18,68","$20,23","$21,26","$22,31","$23,35","$24,38","$26,45"
"0,7","$12,45","$13,49","$15,05","$16,07","$17,13","$18,68","$19,71","$21,26","$22,31","$23,35","$24,90","$25,94","$28,01"
"0,8","$12,45","$14,00","$15,56","$16,60","$18,16","$19,19","$20,75","$22,31","$23,35","$24,90","$25,94","$27,50","$29,57"
"0,9","$13,24","$14,81","$16,40","$18,00","$19,05","$20,64","$21,79","$22,82","$24,38","$25,94","$27,50","$28,53","$30,61"
1,"$13,76","$15,65","$17,27","$18,89","$20,49","$21,69","$22,82","$23,86","$25,42","$26,98","$28,53","$30,09","$32,17"
"1,1","$14,11","$16,34","$17,98","$19,43","$21,04","$22,22","$23,35","$24,90","$26,98","$28,53","$30,09","$31,64","$33,72"
"1,2","$14,65","$16,89","$18,52","$20,15","$22,12","$23,73","$24,38","$25,94","$28,01","$29,57","$31,13","$32,68","$35,27"
"1,3","$15,19","$17,43","$19,07","$21,25","$22,66","$24,82","$25,42","$26,98","$29,04","$30,61","$32,68","$34,23","$36,83"
"1,4","$15,42","$17,81","$19,96","$21,58","$23,73","$24,99","$26,45","$28,01","$30,09","$32,17","$33,72","$35,79","$38,39"
"1,5","$15,87","$18,34","$20,49","$22,12","$24,29","$25,93","$27,50","$29,04","$31,13","$33,20","$35,27","$36,83","$39,42"
"1,6","$16,40","$18,61","$20,74","$23,20","$24,99","$26,98","$28,01","$30,09","$32,17","$34,23","$36,31","$38,39","$40,98"
"1,7","$16,94","$19,05","$21,16","$23,39","$25,40","$27,51","$29,04","$31,13","$33,20","$35,27","$37,87","$39,95","$42,54"
"1,8","$16,60","$19,19","$21,26","$23,35","$25,94","$28,01","$30,09","$32,17","$34,76","$36,83","$38,91","$40,98","$44,10"
"1,9","$17,13","$19,71","$21,79","$24,38","$26,45","$29,04","$31,64","$33,72","$36,31","$38,39","$40,98","$43,06","$45,65"
2,"$17,64","$20,23","$22,31","$24,90","$27,50","$30,09","$32,17","$34,76","$37,35","$39,42","$42,01","$44,61","$47,20"
"2,1","$18,16","$20,75","$23,35","$25,42","$28,01","$30,61","$33,20","$35,79","$38,39","$40,98","$43,58","$46,17","$48,76"
"2,2","$18,68","$21,26","$23,86","$26,45","$29,04","$31,64","$34,23","$36,83","$39,42","$42,01","$44,61","$47,20","$49,80"
