h,"0,3","0,4","0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5"
"0,3","$14,27","$15,56","$16,86","$18,15","$19,45","$20,76","$22,05","$23,35","$24,64","$25,94","$27,88","$29,19","$31,13"
"0,4","$14,92","$16,21","$18,15","$19,45","$20,76","$22,70","$23,99","$25,29","$27,24","$28,52","$29,83","$31,78","$33,72"
"0,5","$15,56","$17,51","$18,81","$20,76","$22,70","$23,99","$25,94","$27,88","$29,19","$31,13","$33,07","$34,37","$36,96"
"0,6","$16,21","$18,15","$20,09","$22,05","$23,99","$25,94","$27,88","$29,83","$31,78","$33,72","$35,67","$37,61","$40,21"
"0,7","$16,86","$19,45","$21,40","$23,35","$25,29","$27,88","$29,83","$31,78","$33,72","$35,67","$38,26","$40,21","$42,80"
"0,8","$17,51","$20,09","$22,70","$24,64","$27,24","$29,19","$31,78","$33,72","$36,31","$38,26","$40,85","$42,80","$46,04"
"0,9","$19,18","$21,18","$23,81","$26,45","$29,10","$31,75","$33,72","$35,67","$38,26","$40,85","$43,44","$46,04","$49,28"
1,"$19,84","$22,93","$25,62","$28,33","$31,03","$33,07","$35,01","$38,26","$40,85","$43,44","$46,04","$48,64","$51,87"
"1,1","$20,17","$23,84","$27,24","$29,68","$33,05","$35,06","$36,96","$40,21","$42,80","$46,04","$48,64","$51,23","$55,12"
"1,2","$20,80","$25,19","$27,91","$31,33","$34,40","$37,77","$38,91","$42,15","$45,39","$47,99","$51,23","$54,47","$58,36"
"1,3","$21,62","$25,87","$29,28","$32,68","$35,74","$39,12","$40,85","$44,08","$47,34","$50,57","$53,82","$57,05","$60,94"
"1,4","$22,61","$26,97","$30,36","$33,72","$37,09","$40,54","$42,80","$46,04","$49,93","$53,17","$56,42","$59,66","$64,20"
"1,5","$23,15","$27,64","$31,69","$35,06","$39,12","$41,67","$44,74","$47,99","$51,87","$55,77","$59,00","$62,90","$67,43"
"1,6","$24,48","$28,58","$31,91","$36,41","$39,89","$43,65","$46,69","$50,57","$53,82","$57,71","$61,61","$65,48","$70,03"
"1,7","$25,13","$29,10","$33,07","$37,22","$41,01","$45,64","$48,64","$52,51","$56,42","$60,30","$64,20","$68,09","$73,28"
"1,8","$25,29","$29,19","$33,72","$37,61","$42,15","$46,04","$50,57","$54,47","$58,36","$62,90","$66,79","$71,33","$76,51"
"1,9","$25,94","$30,48","$35,01","$39,56","$43,44","$47,99","$52,51","$57,05","$61,61","$66,14","$70,68","$74,57","$79,11"
2,"$26,58","$31,13","$36,31","$40,85","$45,39","$49,93","$54,47","$59,00","$63,54","$68,09","$73,28","$77,81","$82,35"
"2,1","$27,24","$32,42","$36,96","$42,15","$46,69","$51,87","$56,42","$60,94","$66,14","$70,68","$75,86","$80,40","$85,59"
"2,2","$28,52","$33,07","$38,26","$43,44","$47,99","$53,17","$58,36","$63,54","$68,09","$73,28","$78,46","$82,99","$88,19"
