h,"0,5","0,6","0,7","0,8","0,9",1,"1,1","1,2","1,3","1,4","1,5","1,6","1,7","1,8","1,9",2,"2,1","2,2","2,3","2,4","2,5","2,6","2,7","2,8","2,9",3,"3,1","3,2","3,3"
"1,1","$28,68","$31,54","$34,70","$37,82","$40,85","$44,12","$46,76","$49,57","$52,54","$55,17","$57,93","$60,82","$63,87","$66,42","$69,08","$71,84","$74,71","$76,95","$79,26","$81,64","$84,09","$86,61","$89,21","$91,89","$94,64","$97,48","$100,40","$103,42","$106,52"
"1,3","$30,40","$33,44","$36,78","$40,09","$43,30","$46,76","$49,57","$52,54","$55,69","$58,48","$61,40","$64,47","$67,70","$70,40","$73,22","$76,15","$79,20","$81,57","$84,02","$86,54","$89,14","$91,81","$94,56","$97,40","$100,32","$103,33","$106,43","$109,62","$112,91"
"1,5","$32,22","$35,44","$38,99","$42,50","$45,90","$49,57","$52,54","$55,69","$59,04","$61,99","$65,09","$68,34","$71,76","$74,63","$77,61","$80,72","$83,95","$86,47","$89,06","$91,73","$94,48","$97,32","$100,24","$103,25","$106,34","$109,53","$112,82","$116,20","$119,69"
"1,7","$34,15","$37,57","$41,33","$45,05","$48,65","$52,54","$55,69","$59,04","$62,58","$65,71","$68,99","$72,44","$76,06","$79,11","$82,27","$85,56","$88,98","$91,65","$94,40","$97,24","$100,15","$103,16","$106,25","$109,44","$112,72","$116,10","$119,58","$123,17","$126,87"
"1,9","$35,86","$39,45","$43,39","$47,30","$51,08","$55,17","$58,48","$61,99","$65,71","$68,99","$72,44","$76,06","$79,87","$83,06","$86,38","$89,84","$93,43","$96,24","$99,12","$102,10","$105,16","$108,32","$111,56","$114,91","$118,36","$121,91","$125,57","$129,33","$133,21"
"2,1","$37,66","$41,42","$45,56","$49,66","$53,64","$57,93","$61,40","$65,09","$68,99","$72,44","$76,06","$79,87","$83,86","$87,22","$90,70","$94,33","$98,11","$101,05","$104,08","$107,20","$110,42","$113,73","$117,14","$120,66","$124,28","$128,01","$131,85","$135,81","$139,88"
"2,3","$39,54","$43,49","$47,84","$52,15","$56,32","$60,82","$64,47","$68,34","$72,44","$76,06","$79,87","$83,86","$88,05","$91,58","$95,24","$99,05","$103,01","$106,10","$109,28","$112,56","$115,94","$119,42","$123,00","$126,69","$130,49","$134,41","$138,44","$142,60","$146,87"
"2,5","$41,51","$45,67","$50,23","$54,75","$59,13","$63,87","$67,70","$71,76","$76,06","$79,87","$83,86","$88,05","$92,46","$96,16","$100,00","$104,00","$108,16","$111,41","$114,75","$118,19","$121,74","$125,39","$129,15","$133,02","$137,02","$141,13","$145,36","$149,72","$154,22"
"2,7","$43,18","$47,49","$52,24","$56,94","$61,50","$66,42","$70,40","$74,63","$79,11","$83,06","$87,22","$91,58","$96,16","$100,00","$104,00","$108,16","$112,49","$115,86","$119,34","$122,92","$126,61","$130,40","$134,32","$138,35","$142,50","$146,77","$151,17","$155,71","$160,38"
"2,9","$44,90","$49,39","$54,33","$59,22","$63,96","$69,08","$73,22","$77,61","$82,27","$86,38","$90,70","$95,24","$100,00","$104,00","$108,16","$112,49","$116,99","$120,50","$124,11","$127,84","$131,67","$135,62","$139,69","$143,88","$148,20","$152,64",,,
"3,1","$46,70","$51,37","$56,51","$61,59","$66,52","$71,84","$76,15","$80,72","$85,56","$89,84","$94,33","$99,05","$104,00","$108,16","$112,49","$116,99","$121,67","$125,32","$129,08","$132,95","$136,94","$141,05","$145,28","$149,63","$154,12","$158,75",,,
"3,3","$48,57","$53,42","$58,77","$64,05","$69,18","$74,71","$79,20","$83,95","$88,98","$93,43","$98,10","$103,01","$108,16","$112,49","$116,99","$121,67","$126,54","$130,33","$134,24","$138,27","$142,42","$146,69","$151,09","$155,62","$160,28","$165,10",,,
"3,5","$50,51","$55,56","$61,12","$66,62","$71,95","$77,70","$82,36","$87,31","$92,54","$97,17","$102,03","$107,13","$112,49","$116,99","$121,67","$126,54","$131,60","$135,55","$139,61","$143,80","$148,11","$152,56","$157,13","$161,84","$166,70","$171,70",,,
"3,7","$52,53","$57,78","$63,57","$69,28","$74,83","$80,81","$85,66","$90,80","$96,24","$101,06","$106,11","$111,42","$116,99","$121,67","$126,54","$131,60","$136,86","$140,97","$145,20","$149,55","$154,04","$158,66","$163,42","$168,31","$173,36","$178,57",,,
"3,9","$54,63","$60,10","$66,11","$72,05","$77,82","$84,04","$89,08","$94,43","$100,09","$105,10","$110,35","$115,87","$121,67","$126,53","$131,60","$136,86","$142,34","$146,61","$151,01","$155,53","$160,20","$165,01","$169,96","$175,05","$180,30","$185,72",,,
"4,1","$56,82","$62,50","$68,75","$74,93","$80,93","$87,40","$92,65","$98,21","$104,10","$109,30","$114,77","$120,51","$126,53","$131,59","$136,86","$142,34","$148,03","$152,47","$157,05","$161,75","$166,61","$171,61","$176,76","$182,05","$187,51","$193,14",,,
"4,3","$59,09","$65,00","$71,50","$77,93","$84,17","$90,90","$96,35","$102,14","$108,26","$113,68","$119,36","$125,33","$131,59","$136,86","$142,34","$148,03","$153,95","$158,57","$163,33","$168,22","$173,27","$178,47","$183,83","$189,33","$195,01","$200,87",,,
"4,5","$61,45","$67,60","$74,36","$81,05","$87,54","$94,54","$100,21","$106,22","$112,59","$118,22","$124,13","$130,34","$136,86","$142,33","$148,03","$153,95","$160,11","$164,91","$169,86","$174,95","$180,20","$185,61","$191,18","$196,90","$202,81","$208,90",,,
